Index,Date,Fish Type,Peliyagoda (Today) WS,Negombo (Today) WS,Negombo (Today) RT,Narahenpita (Today) RT,avg_ws_price,avg_rt_price,dollar_rate,Kerosene (LK),Diesel (LAD),Super Diesel (LSD),index,temperature_2m_mean (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),cloud_cover_mean (%),precipitation_sum (mm),relative_humidity_2m_mean (%),wet_bulb_temperature_2m_mean (°C),visibility_mean (undefined),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),surface_pressure_mean (hPa),rain_sum (mm),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),wind_direction_10m_dominant (°),sunshine_duration (s),pressure_msl_mean (hPa),wave_height_max (m),wind_wave_height_max (m),swell_wave_height_max (m),swell_wave_period_max (undefined),wind_wave_period_max (s),wave_period_max (s),wave_direction_dominant (°)
1,1/1/2021,Yellowfin tuna - Kelawalla ,550,470,740,1050,510,895,189.8,77,111,144,0,25.4167,15.0167,33.7167,88,9.65,86.8333,23.6,,22.0667,10.8833,1008.9167,9.65,13.2467,2.8817,119.8333,22576.0717,1010.1,,,,,,,
2,1/1/2021,Sail fish - Thalapath,700,0,0,940,350,470,189.8,77,111,144,0,25.4167,15.0167,33.7167,88,9.65,86.8333,23.6,,22.0667,10.8833,1008.9167,9.65,13.2467,2.8817,119.8333,22576.0717,1010.1,,,,,,,
3,1/1/2021,Skipjack tuna - Balaya,0,0,0,570,0,285,189.8,77,111,144,0,25.4167,15.0167,33.7167,88,9.65,86.8333,23.6,,22.0667,10.8833,1008.9167,9.65,13.2467,2.8817,119.8333,22576.0717,1010.1,,,,,,,
4,1/1/2021,Trevally - Paraw,0,600,1100,860,300,980,189.8,77,111,144,0,25.4167,15.0167,33.7167,88,9.65,86.8333,23.6,,22.0667,10.8833,1008.9167,9.65,13.2467,2.8817,119.8333,22576.0717,1010.1,,,,,,,
5,1/1/2021,Sardinella - Salaya,0,200,270,220,100,245,189.8,77,111,144,0,25.4167,15.0167,33.7167,88,9.65,86.8333,23.6,,22.0667,10.8833,1008.9167,9.65,13.2467,2.8817,119.8333,22576.0717,1010.1,,,,,,,
6,1/1/2021,Herrings - Hurulla,0,400,520,500,200,510,189.8,77,111,144,0,25.4167,15.0167,33.7167,88,9.65,86.8333,23.6,,22.0667,10.8833,1008.9167,9.65,13.2467,2.8817,119.8333,22576.0717,1010.1,,,,,,,
7,1/4/2021,Yellowfin tuna - Kelawalla ,550,520,790,1100,535,945,189.88,77,111,144,3,25.55,11.3333,27,94.6667,7.4167,89.8333,24.1833,,16.25,7.15,1007.9333,7.4167,10.9083,2.3033,100.1667,16542.8167,1009.1,,,,,,,
8,1/4/2021,Sail fish - Thalapath,750,720,940,900,735,920,189.88,77,111,144,3,25.55,11.3333,27,94.6667,7.4167,89.8333,24.1833,,16.25,7.15,1007.9333,7.4167,10.9083,2.3033,100.1667,16542.8167,1009.1,,,,,,,
9,1/4/2021,Skipjack tuna - Balaya,350,350,470,580,350,525,189.88,77,111,144,3,25.55,11.3333,27,94.6667,7.4167,89.8333,24.1833,,16.25,7.15,1007.9333,7.4167,10.9083,2.3033,100.1667,16542.8167,1009.1,,,,,,,
10,1/4/2021,Trevally - Paraw,650,0,0,840,325,420,189.88,77,111,144,3,25.55,11.3333,27,94.6667,7.4167,89.8333,24.1833,,16.25,7.15,1007.9333,7.4167,10.9083,2.3033,100.1667,16542.8167,1009.1,,,,,,,
11,1/4/2021,Sardinella - Salaya,160,200,270,220,180,245,189.88,77,111,144,3,25.55,11.3333,27,94.6667,7.4167,89.8333,24.1833,,16.25,7.15,1007.9333,7.4167,10.9083,2.3033,100.1667,16542.8167,1009.1,,,,,,,
12,1/4/2021,Herrings - Hurulla,450,430,540,520,440,530,189.88,77,111,144,3,25.55,11.3333,27,94.6667,7.4167,89.8333,24.1833,,16.25,7.15,1007.9333,7.4167,10.9083,2.3033,100.1667,16542.8167,1009.1,,,,,,,
13,1/5/2021,Yellowfin tuna - Kelawalla ,500,520,760,960,510,860,191.9,77,111,144,4,25.5167,15.0167,29.6833,77.1667,4.0833,89.8333,24.15,,17.5833,8.3,1008.6,4.0833,14.4133,2.8433,84.8333,28458.2883,1009.7667,,,,,,,
14,1/5/2021,Sail fish - Thalapath,750,740,920,980,745,950,191.9,77,111,144,4,25.5167,15.0167,29.6833,77.1667,4.0833,89.8333,24.15,,17.5833,8.3,1008.6,4.0833,14.4133,2.8433,84.8333,28458.2883,1009.7667,,,,,,,
15,1/5/2021,Skipjack tuna - Balaya,380,380,470,450,380,460,191.9,77,111,144,4,25.5167,15.0167,29.6833,77.1667,4.0833,89.8333,24.15,,17.5833,8.3,1008.6,4.0833,14.4133,2.8433,84.8333,28458.2883,1009.7667,,,,,,,
16,1/5/2021,Trevally - Paraw,600,650,950,950,625,950,191.9,77,111,144,4,25.5167,15.0167,29.6833,77.1667,4.0833,89.8333,24.15,,17.5833,8.3,1008.6,4.0833,14.4133,2.8433,84.8333,28458.2883,1009.7667,,,,,,,
17,1/5/2021,Sardinella - Salaya,160,0,0,320,80,160,191.9,77,111,144,4,25.5167,15.0167,29.6833,77.1667,4.0833,89.8333,24.15,,17.5833,8.3,1008.6,4.0833,14.4133,2.8433,84.8333,28458.2883,1009.7667,,,,,,,
18,1/5/2021,Herrings - Hurulla,380,440,550,500,410,525,191.9,77,111,144,4,25.5167,15.0167,29.6833,77.1667,4.0833,89.8333,24.15,,17.5833,8.3,1008.6,4.0833,14.4133,2.8433,84.8333,28458.2883,1009.7667,,,,,,,
19,1/6/2021,Yellowfin tuna - Kelawalla ,500,520,760,960,510,860,191.96,77,111,144,5,25.5,13.1,27.4,64.1667,4.85,89.8333,24.1333,,15.45,6.4333,1008.7,4.85,18.1017,3.4567,157.3333,34814.7017,1009.8833,,,,,,,
